id,name,type1,type2,height,weight,hp,attack,defense,special_attack,special_defense,speed,total_stats,is_legendary
418,Buizel,water,None,7,295,55,65,35,60,30,85,330,False
419,Floatzel,water,None,11,335,85,105,55,85,50,115,495,False
420,Cherubi,grass,None,4,33,45,35,45,62,53,35,275,False
421,Cherrim,grass,None,5,93,70,60,70,87,78,85,450,False
422,Shellos,water,None,3,63,76,48,48,57,62,34,325,False
423,Gastrodon,water,ground,9,299,111,83,68,92,82,39,475,False
424,Ambipom,normal,None,12,203,75,100,66,60,66,115,482,False
425,Drifloon,ghost,flying,4,12,90,50,34,60,44,70,348,False
426,Drifblim,ghost,flying,12,150,150,80,44,90,54,80,498,False
427,Buneary,normal,None,4,55,55,66,44,44,56,85,350,False
428,Lopunny,normal,None,12,333,65,76,84,54,96,105,480,False
429,Mismagius,ghost,None,9,44,60,60,60,105,105,105,495,False
430,Honchkrow,dark,flying,9,273,100,125,52,105,52,71,505,False
431,Glameow,normal,None,5,39,49,55,42,42,37,85,310,False
432,Purugly,normal,None,10,438,71,82,64,64,59,112,452,False
433,Chingling,psychic,None,2,6,45,30,50,65,50,45,285,False
434,Stunky,poison,dark,4,192,63,63,47,41,41,74,329,False
435,Skuntank,poison,dark,10,380,103,93,67,71,61,84,479,False
436,Bronzor,steel,psychic,5,605,57,24,86,24,86,23,300,False
437,Bronzong,steel,psychic,13,1870,67,89,116,79,116,33,500,False
438,Bonsly,rock,None,5,150,50,80,95,10,45,10,290,False
439,Mime-Jr,psychic,fairy,6,130,20,25,45,70,90,60,310,False
440,Happiny,normal,None,6,244,100,5,5,15,65,30,220,False
441,Chatot,normal,flying,5,19,76,65,45,92,42,91,411,False
442,Spiritomb,ghost,dark,10,1080,50,92,108,92,108,35,485,False
443,Gible,dragon,ground,7,205,58,70,45,40,45,42,300,False
444,Gabite,dragon,ground,14,560,68,90,65,50,55,82,410,False
445,Garchomp,dragon,ground,19,950,108,130,95,80,85,102,600,False
446,Munchlax,normal,None,6,1050,135,85,40,40,85,5,390,False
447,Riolu,fighting,None,7,202,40,70,40,35,40,60,285,False
448,Lucario,fighting,steel,12,540,70,110,70,115,70,90,525,False
449,Hippopotas,ground,None,8,495,68,72,78,38,42,32,330,False
450,Hippowdon,ground,None,20,3000,108,112,118,68,72,47,525,False
451,Skorupi,poison,bug,8,120,40,50,90,30,55,65,330,False
452,Drapion,poison,dark,13,615,70,90,110,60,75,95,500,False
453,Croagunk,poison,fighting,7,230,48,61,40,61,40,50,300,False
454,Toxicroak,poison,fighting,13,444,83,106,65,86,65,85,490,False
455,Carnivine,grass,None,14,270,74,100,72,90,72,46,454,False
456,Finneon,water,None,4,70,49,49,56,49,61,66,330,False
457,Lumineon,water,None,12,240,69,69,76,69,86,91,460,False
458,Mantyke,water,flying,10,650,45,20,50,60,120,50,345,False
459,Snover,grass,ice,10,505,60,62,50,62,60,40,334,False
460,Abomasnow,grass,ice,22,1355,90,92,75,92,85,60,494,False
461,Weavile,dark,ice,11,340,70,120,65,45,85,125,510,False
462,Magnezone,electric,steel,12,1800,70,70,115,130,90,60,535,False
463,Lickilicky,normal,None,17,1400,110,85,95,80,95,50,515,False
464,Rhyperior,ground,rock,24,2828,115,140,130,55,55,40,535,False
465,Tangrowth,grass,None,20,1286,100,100,125,110,50,50,535,False
466,Electivire,electric,None,18,1386,75,123,67,95,85,95,540,False
467,Magmortar,fire,None,16,680,75,95,67,125,95,83,540,False
468,Togekiss,fairy,flying,15,380,85,50,95,120,115,80,545,False
469,Yanmega,bug,flying,19,515,86,76,86,116,56,95,515,False
470,Leafeon,grass,None,10,255,65,110,130,60,65,95,525,False
471,Glaceon,ice,None,8,259,65,60,110,130,95,65,525,False
472,Gliscor,ground,flying,20,425,75,95,125,45,75,95,510,False
473,Mamoswine,ice,ground,25,2910,110,130,80,70,60,80,530,False
474,Porygon-Z,normal,None,9,340,85,80,70,135,75,90,535,False
475,Gallade,psychic,fighting,16,520,68,125,65,65,115,80,518,False
476,Probopass,rock,steel,14,3400,60,55,145,75,150,40,525,False
477,Dusknoir,ghost,None,22,1066,45,100,135,65,135,45,525,False
478,Froslass,ice,ghost,13,266,70,80,70,80,70,110,480,False
479,Rotom,electric,ghost,3,3,50,50,77,95,77,91,440,False
480,Uxie,psychic,None,3,3,75,75,130,75,130,95,580,True
481,Mesprit,psychic,None,3,3,80,105,105,105,105,80,580,True
482,Azelf,psychic,None,3,3,75,125,70,125,70,115,580,True
483,Dialga,steel,dragon,54,6830,100,120,120,150,100,90,680,True
484,Palkia,water,dragon,42,3360,90,120,100,150,120,100,680,True
485,Heatran,fire,steel,17,4300,91,90,106,130,106,77,600,True
486,Regigigas,normal,None,37,4200,110,160,110,80,110,100,670,True
487,Giratina-Altered,ghost,dragon,45,7500,150,100,120,100,120,90,680,True
488,Cresselia,psychic,None,15,856,120,70,110,75,120,85,580,True
489,Phione,water,None,4,31,80,80,80,80,80,80,480,True
490,Manaphy,water,None,3,14,100,100,100,100,100,100,600,True
491,Darkrai,dark,None,15,505,70,90,90,135,90,125,600,True
492,Shaymin-Land,grass,None,2,21,100,100,100,100,100,100,600,True
493,Arceus,normal,None,32,3200,120,120,120,120,120,120,720,True
494,Victini,psychic,fire,4,40,100,100,100,100,100,100,600,True
495,Snivy,grass,None,6,81,45,45,55,45,55,63,308,False
496,Servine,grass,None,8,160,60,60,75,60,75,83,413,False
497,Serperior,grass,None,33,630,75,75,95,75,95,113,528,False
498,Tepig,fire,None,5,99,65,63,45,45,45,45,308,False
499,Pignite,fire,fighting,10,555,90,93,55,70,55,55,418,False
500,Emboar,fire,fighting,16,1500,110,123,65,100,65,65,528,False
501,Oshawott,water,None,5,59,55,55,45,63,45,45,308,False
502,Dewott,water,None,8,245,75,75,60,83,60,60,413,False
503,Samurott,water,None,15,946,95,100,85,108,70,70,528,False
504,Patrat,normal,None,5,116,45,55,39,35,39,42,255,False
505,Watchog,normal,None,11,270,60,85,69,60,69,77,420,False
506,Lillipup,normal,None,4,41,45,60,45,25,45,55,275,False
507,Herdier,normal,None,9,147,65,80,65,35,65,60,370,False
508,Stoutland,normal,None,12,610,85,110,90,45,90,80,500,False
509,Purrloin,dark,None,4,101,41,50,37,50,37,66,281,False
510,Liepard,dark,None,11,375,64,88,50,88,50,106,446,False
511,Pansage,grass,None,6,105,50,53,48,53,48,64,316,False
512,Simisage,grass,None,11,305,75,98,63,98,63,101,498,False
513,Pansear,fire,None,6,110,50,53,48,53,48,64,316,False
514,Simisear,fire,None,10,280,75,98,63,98,63,101,498,False
515,Panpour,water,None,6,135,50,53,48,53,48,64,316,False
516,Simipour,water,None,10,290,75,98,63,98,63,101,498,False
517,Munna,psychic,None,6,233,76,25,45,67,55,24,292,False
518,Musharna,psychic,None,11,605,116,55,85,107,95,29,487,False
519,Pidove,normal,flying,3,21,50,55,50,36,30,43,264,False
520,Tranquill,normal,flying,6,150,62,77,62,50,42,65,358,False
521,Unfezant,normal,flying,12,290,80,115,80,65,55,93,488,False
522,Blitzle,electric,None,8,298,45,60,32,50,32,76,295,False
523,Zebstrika,electric,None,16,795,75,100,63,80,63,116,497,False
524,Roggenrola,rock,None,4,180,55,75,85,25,25,15,280,False
525,Boldore,rock,None,9,1020,70,105,105,50,40,20,390,False
527,Woobat,psychic,flying,4,21,65,45,43,55,43,72,323,False
528,Swoobat,psychic,flying,9,105,67,57,55,77,55,114,425,False
529,Drilbur,ground,None,3,85,60,85,40,30,45,68,328,False
530,Excadrill,ground,steel,7,404,110,135,60,50,65,88,508,False
531,Audino,normal,None,11,310,103,60,86,60,86,50,445,False
532,Timburr,fighting,None,6,125,75,80,55,25,35,35,305,False
533,Gurdurr,fighting,None,12,400,85,105,85,40,50,40,405,False
534,Conkeldurr,fighting,None,14,870,105,140,95,55,65,45,505,False
535,Tympole,water,None,5,45,50,50,40,50,40,64,294,False
536,Palpitoad,water,ground,8,170,75,65,55,65,55,69,384,False
537,Seismitoad,water,ground,15,620,105,95,75,85,75,74,509,False
538,Throh,fighting,None,13,555,120,100,85,30,85,45,465,False
539,Sawk,fighting,None,14,510,75,125,75,30,75,85,465,False
540,Sewaddle,bug,grass,3,25,45,53,70,40,60,42,310,False
541,Swadloon,bug,grass,5,73,55,63,90,50,80,42,380,False
542,Leavanny,bug,grass,12,205,75,103,80,70,80,92,500,False
543,Venipede,bug,poison,4,53,30,45,59,30,39,57,260,False
544,Whirlipede,bug,poison,12,585,40,55,99,40,79,47,360,False
545,Scolipede,bug,poison,25,2005,60,100,89,55,69,112,485,False
546,Cottonee,grass,fairy,3,6,40,27,60,37,50,66,280,False
547,Whimsicott,grass,fairy,7,66,60,67,85,77,75,116,480,False
548,Petilil,grass,None,5,66,45,35,50,70,50,30,280,False
549,Lilligant,grass,None,11,163,70,60,75,110,75,90,480,False
550,Basculin-Red-Striped,water,None,10,180,70,92,65,80,55,98,460,False
551,Sandile,ground,dark,7,152,50,72,35,35,35,65,292,False
552,Krokorok,ground,dark,10,334,60,82,45,45,45,74,351,False
553,Krookodile,ground,dark,15,963,95,117,80,65,70,92,519,False
554,Darumaka,fire,None,6,375,70,90,45,15,45,50,315,False
555,Darmanitan-Standard,fire,None,13,929,105,140,55,30,55,95,480,False
556,Maractus,grass,None,10,280,75,86,67,106,67,60,461,False
557,Dwebble,bug,rock,3,145,50,65,85,35,35,55,325,False
558,Crustle,bug,rock,14,2000,70,105,125,65,75,45,485,False
559,Scraggy,dark,fighting,6,118,50,75,70,35,70,48,348,False
560,Scrafty,dark,fighting,11,300,65,90,115,45,115,58,488,False
561,Sigilyph,psychic,flying,14,140,72,58,80,103,80,97,490,False
562,Yamask,ghost,None,5,15,38,30,85,55,65,30,303,False
563,Cofagrigus,ghost,None,17,765,58,50,145,95,105,30,483,False
564,Tirtouga,water,rock,7,165,54,78,103,53,45,22,355,False
565,Carracosta,water,rock,12,810,74,108,133,83,65,32,495,False
566,Archen,rock,flying,5,95,55,112,45,74,45,70,401,False
567,Archeops,rock,flying,14,320,75,140,65,112,65,110,567,False
568,Trubbish,poison,None,6,310,50,50,62,40,62,65,329,False
569,Garbodor,poison,None,19,1073,80,95,82,60,82,75,474,False
570,Zorua,dark,None,7,125,40,65,40,80,40,65,330,False
571,Zoroark,dark,None,16,811,60,105,60,120,60,105,510,False
572,Minccino,normal,None,4,58,55,50,40,40,40,75,300,False
573,Cinccino,normal,None,5,75,75,95,60,65,60,115,470,False
574,Gothita,psychic,None,4,58,45,30,50,55,65,45,290,False
575,Gothorita,psychic,None,7,180,60,45,70,75,85,55,390,False
576,Gothitelle,psychic,None,15,440,70,55,95,95,110,65,490,False
577,Solosis,psychic,None,3,10,45,30,40,105,50,20,290,False
578,Duosion,psychic,None,6,80,65,40,50,125,60,30,370,False
579,Reuniclus,psychic,None,10,201,110,65,75,125,85,30,490,False
580,Ducklett,water,flying,5,55,62,44,50,44,50,55,305,False
581,Swanna,water,flying,13,242,75,87,63,87,63,98,473,False
582,Vanillite,ice,None,4,57,36,50,50,65,60,44,305,False
583,Vanillish,ice,None,11,410,51,65,65,80,75,59,395,False
584,Vanilluxe,ice,None,13,575,71,95,85,110,95,79,535,False
585,Deerling,normal,grass,6,195,60,60,50,40,50,75,335,False
586,Sawsbuck,normal,grass,19,925,80,100,70,60,70,95,475,False
587,Emolga,electric,flying,4,50,55,75,60,75,60,103,428,False
588,Karrablast,bug,None,5,59,50,75,45,40,45,60,315,False
589,Escavalier,bug,steel,10,330,70,135,105,60,105,20,495,False
590,Foongus,grass,poison,2,10,69,55,45,55,55,15,294,False
591,Amoonguss,grass,poison,6,105,114,85,70,85,80,30,464,False
592,Frillish,water,ghost,12,330,55,40,50,65,85,40,335,False
593,Jellicent,water,ghost,22,1350,100,60,70,85,105,60,480,False
594,Alomomola,water,None,12,316,165,75,80,40,45,65,470,False
595,Joltik,bug,electric,1,6,50,47,50,57,50,65,319,False
596,Galvantula,bug,electric,8,143,70,77,60,97,60,108,472,False
597,Ferroseed,grass,steel,6,188,44,50,91,24,86,10,305,False
598,Ferrothorn,grass,steel,10,1100,74,94,131,54,116,20,489,False
599,Klink,steel,None,3,210,40,55,70,45,60,30,300,False
600,Klang,steel,None,6,510,60,80,95,70,85,50,440,False
601,Klinklang,steel,None,6,810,60,100,115,70,85,90,520,False
602,Tynamo,electric,None,2,3,35,55,40,45,40,60,275,False
603,Eelektrik,electric,None,12,220,65,85,70,75,70,40,405,False
604,Eelektross,electric,None,21,805,85,115,80,105,80,50,515,False
605,Elgyem,psychic,None,5,90,55,55,55,85,55,30,335,False
606,Beheeyem,psychic,None,10,345,75,75,75,125,95,40,485,False
607,Litwick,ghost,fire,3,31,50,30,55,65,55,20,275,False
608,Lampent,ghost,fire,6,130,60,40,60,95,60,55,370,False
609,Chandelure,ghost,fire,10,343,60,55,90,145,90,80,520,False
610,Axew,dragon,None,6,180,46,87,60,30,40,57,320,False
611,Fraxure,dragon,None,10,360,66,117,70,40,50,67,410,False
612,Haxorus,dragon,None,18,1055,76,147,90,60,70,97,540,False
613,Cubchoo,ice,None,5,85,55,70,40,60,40,40,305,False
614,Beartic,ice,None,26,2600,95,130,80,70,80,50,505,False
615,Cryogonal,ice,None,11,1480,80,50,50,95,135,105,515,False
616,Shelmet,bug,None,4,77,50,40,85,40,65,25,305,False
617,Accelgor,bug,None,8,253,80,70,40,100,60,145,495,False
618,Stunfisk,ground,electric,7,110,109,66,84,81,99,32,471,False
619,Mienfoo,fighting,None,9,200,45,85,50,55,50,65,350,False
620,Mienshao,fighting,None,14,355,65,125,60,95,60,105,510,False
621,Druddigon,dragon,None,16,1390,77,120,90,60,90,48,485,False
622,Golett,ground,ghost,10,920,59,74,50,35,50,35,303,False
623,Golurk,ground,ghost,28,3300,89,124,80,55,80,55,483,False
624,Pawniard,dark,steel,5,102,45,85,70,40,40,60,340,False
625,Bisharp,dark,steel,16,700,65,125,100,60,70,70,490,False
626,Bouffalant,normal,None,16,946,95,110,95,40,95,55,490,False
627,Rufflet,normal,flying,5,105,70,83,50,37,50,60,350,False
628,Braviary,normal,flying,15,410,100,123,75,57,75,80,510,False
629,Vullaby,dark,flying,5,90,70,55,75,45,65,60,370,False
630,Mandibuzz,dark,flying,12,395,110,65,105,55,95,80,510,False
631,Heatmor,fire,None,14,580,85,97,66,105,66,65,484,False
632,Durant,bug,steel,3,330,58,109,112,48,48,109,484,False
633,Deino,dark,dragon,8,173,52,65,50,45,50,38,300,False
634,Zweilous,dark,dragon,14,500,72,85,70,65,70,58,420,False
635,Hydreigon,dark,dragon,18,1600,92,105,90,125,90,98,600,False
636,Larvesta,bug,fire,11,288,55,85,55,50,55,60,360,False
637,Volcarona,bug,fire,16,460,85,60,65,135,105,100,550,False
638,Cobalion,steel,fighting,21,2500,91,90,129,90,72,108,580,True
639,Terrakion,rock,fighting,19,2600,91,129,90,72,90,108,580,True
640,Virizion,grass,fighting,20,2000,91,90,72,90,129,108,580,True
641,Tornadus-Incarnate,flying,None,15,630,79,115,70,125,80,111,580,True
642,Thundurus-Incarnate,electric,flying,15,610,79,115,70,125,80,111,580,True
643,Reshiram,dragon,fire,32,3300,100,120,100,150,120,90,680,True
644,Zekrom,dragon,electric,29,3450,100,150,120,120,100,90,680,True
645,Landorus-Incarnate,ground,flying,15,680,89,125,90,115,80,101,600,True
646,Kyurem,dragon,ice,30,3250,125,130,90,130,90,95,660,True
647,Keldeo-Ordinary,water,fighting,14,485,91,72,90,129,90,108,580,True
648,Meloetta-Aria,normal,psychic,6,65,100,77,77,128,128,90,600,True
649,Genesect,bug,steel,15,825,71,120,95,120,95,99,600,True
650,Chespin,grass,None,4,90,56,61,65,48,45,38,313,False
651,Quilladin,grass,None,7,290,61,78,95,56,58,57,405,False
652,Chesnaught,grass,fighting,16,900,88,107,122,74,75,64,530,False
653,Fennekin,fire,None,4,94,40,45,40,62,60,60,307,False
654,Braixen,fire,None,10,145,59,59,58,90,70,73,409,False
655,Delphox,fire,psychic,15,390,75,69,72,114,100,104,534,False
656,Froakie,water,None,3,70,41,56,40,62,44,71,314,False
657,Frogadier,water,None,6,109,54,63,52,83,56,97,405,False
658,Greninja,water,dark,15,400,72,95,67,103,71,122,530,False
659,Bunnelby,normal,None,4,50,38,36,38,32,36,57,237,False
660,Diggersby,normal,ground,10,424,85,56,77,50,77,78,423,False
661,Fletchling,normal,flying,3,17,45,50,43,40,38,62,278,False
662,Fletchinder,fire,flying,7,160,62,73,55,56,52,84,382,False
663,Talonflame,fire,flying,12,245,78,81,71,74,69,126,499,False
664,Scatterbug,bug,None,3,25,38,35,40,27,25,35,200,False
665,Spewpa,bug,None,3,84,45,22,60,27,30,29,213,False
666,Vivillon,bug,flying,12,170,80,52,50,90,50,89,411,False
667,Litleo,fire,normal,6,135,62,50,58,73,54,72,369,False
668,Pyroar,fire,normal,15,815,86,68,72,109,66,106,507,False
669,Flabebe,fairy,None,1,1,44,38,39,61,79,42,303,False
670,Floette,fairy,None,2,9,54,45,47,75,98,52,371,False
671,Florges,fairy,None,11,100,78,65,68,112,154,75,552,False
672,Skiddo,grass,None,9,310,66,65,48,62,57,52,350,False
673,Gogoat,grass,None,17,910,123,100,62,97,81,68,531,False
674,Pancham,fighting,None,6,80,67,82,62,46,48,43,348,False
675,Pangoro,fighting,dark,21,1360,95,124,78,69,71,58,495,False
676,Furfrou,normal,None,12,280,75,80,60,65,90,102,472,False
677,Espurr,psychic,None,3,35,62,48,54,63,60,68,355,False
678,Meowstic-Male,psychic,None,6,85,74,48,76,83,81,104,466,False
679,Honedge,steel,ghost,8,20,45,80,100,35,37,28,325,False
680,Doublade,steel,ghost,8,45,59,110,150,45,49,35,448,False
681,Aegislash-Shield,steel,ghost,17,530,60,50,140,50,140,60,500,False
682,Spritzee,fairy,None,2,5,78,52,60,63,65,23,341,False
683,Aromatisse,fairy,None,8,155,101,72,72,99,89,29,462,False
684,Swirlix,fairy,None,4,35,62,48,66,59,57,49,341,False
685,Slurpuff,fairy,None,8,50,82,80,86,85,75,72,480,False
686,Inkay,dark,psychic,4,35,53,54,53,37,46,45,288,False
687,Malamar,dark,psychic,15,470,86,92,88,68,75,73,482,False
688,Binacle,rock,water,5,310,42,52,67,39,56,50,306,False
689,Barbaracle,rock,water,13,960,72,105,115,54,86,68,500,False
690,Skrelp,poison,water,5,73,50,60,60,60,60,30,320,False
691,Dragalge,poison,dragon,18,815,65,75,90,97,123,44,494,False
692,Clauncher,water,None,5,83,50,53,62,58,63,44,330,False
693,Clawitzer,water,None,13,353,71,73,88,120,89,59,500,False
694,Helioptile,electric,normal,5,60,44,38,33,61,43,70,289,False
695,Heliolisk,electric,normal,10,210,62,55,52,109,94,109,481,False
696,Tyrunt,rock,dragon,8,260,58,89,77,45,45,48,362,False
697,Tyrantrum,rock,dragon,25,2700,82,121,119,69,59,71,521,False
698,Amaura,rock,ice,13,252,77,59,50,67,63,46,362,False
699,Aurorus,rock,ice,27,2250,123,77,72,99,92,58,521,False
700,Sylveon,fairy,None,10,235,95,65,65,110,130,60,525,False
701,Hawlucha,fighting,flying,8,215,78,92,75,74,63,118,500,False
702,Dedenne,electric,fairy,2,22,67,58,57,81,67,101,431,False
703,Carbink,rock,fairy,3,57,50,50,150,50,150,50,500,False
704,Goomy,dragon,None,3,28,45,50,35,55,75,40,300,False
705,Sliggoo,dragon,None,8,175,68,75,53,83,113,60,452,False
706,Goodra,dragon,None,20,1505,90,100,70,110,150,80,600,False
707,Klefki,steel,fairy,2,30,57,80,91,80,87,75,470,False
708,Phantump,ghost,grass,4,70,43,70,48,50,60,38,309,False
709,Trevenant,ghost,grass,15,710,85,110,76,65,82,56,474,False
710,Pumpkaboo-Average,ghost,grass,4,50,49,66,70,44,55,51,335,False
711,Gourgeist-Average,ghost,grass,9,125,65,90,122,58,75,84,494,False
712,Bergmite,ice,None,10,995,55,69,85,32,35,28,304,False
713,Avalugg,ice,None,20,5050,95,117,184,44,46,28,514,False
714,Noibat,flying,dragon,5,80,40,30,35,45,40,55,245,False
715,Noivern,flying,dragon,15,850,85,70,80,97,80,123,535,False
716,Xerneas,fairy,None,30,2150,126,131,95,131,98,99,680,True
717,Yveltal,dark,flying,58,2030,126,131,95,131,98,99,680,True
718,Zygarde-50,dragon,ground,50,3050,108,100,121,81,95,95,600,True
719,Diancie,rock,fairy,7,88,50,100,150,100,150,50,600,True
720,Hoopa,psychic,ghost,5,90,80,110,60,150,130,70,600,True
721,Volcanion,fire,water,17,1950,80,110,120,130,90,70,600,True
722,Rowlet,grass,flying,3,15,68,55,55,50,50,42,320,False
723,Dartrix,grass,flying,7,160,78,75,75,70,70,52,420,False
724,Decidueye,grass,ghost,16,366,78,107,75,100,100,70,530,False
725,Litten,fire,None,4,43,45,65,40,60,40,70,320,False
726,Torracat,fire,None,7,250,65,85,50,80,50,90,420,False
727,Incineroar,fire,dark,18,830,95,115,90,80,90,60,530,False
728,Popplio,water,None,4,75,50,54,54,66,56,40,320,False
729,Brionne,water,None,6,175,60,69,69,91,81,50,420,False
730,Primarina,water,fairy,18,440,80,74,74,126,116,60,530,False
731,Pikipek,normal,flying,3,12,35,75,30,30,30,65,265,False
732,Trumbeak,normal,flying,6,148,55,85,50,40,50,75,355,False
733,Toucannon,normal,flying,11,260,80,120,75,75,75,60,485,False
734,Yungoos,normal,None,4,60,48,70,30,30,30,45,253,False
735,Gumshoos,normal,None,7,142,88,110,60,55,60,45,418,False
736,Grubbin,bug,None,4,44,47,62,45,55,45,46,300,False
737,Charjabug,bug,electric,5,105,57,82,95,55,75,36,400,False
738,Vikavolt,bug,electric,15,450,77,70,90,145,75,43,500,False
739,Crabrawler,fighting,None,6,70,47,82,57,42,47,63,338,False
740,Crabominable,fighting,ice,17,1800,97,132,77,62,67,43,478,False
741,Oricorio-Baile,fire,flying,6,34,75,70,70,98,70,93,476,False
742,Cutiefly,bug,fairy,1,2,40,45,40,55,40,84,304,False
743,Ribombee,bug,fairy,2,5,60,55,60,95,70,124,464,False
744,Rockruff,rock,None,5,92,45,65,40,30,40,60,280,False
745,Lycanroc-Midday,rock,None,8,250,75,115,65,55,65,112,487,False
746,Wishiwashi-Solo,water,None,2,3,45,20,20,25,25,40,175,False
747,Mareanie,poison,water,4,80,50,53,62,43,52,45,305,False
748,Toxapex,poison,water,7,145,50,63,152,53,142,35,495,False
749,Mudbray,ground,None,10,1100,70,100,70,45,55,45,385,False
750,Mudsdale,ground,None,25,9200,100,125,100,55,85,35,500,False
751,Dewpider,water,bug,3,40,38,40,52,40,72,27,269,False
752,Araquanid,water,bug,18,820,68,70,92,50,132,42,454,False
753,Fomantis,grass,None,3,15,40,55,35,50,35,35,250,False
754,Lurantis,grass,None,9,185,70,105,90,80,90,45,480,False
755,Morelull,grass,fairy,2,15,40,35,55,65,75,15,285,False
756,Shiinotic,grass,fairy,10,115,60,45,80,90,100,30,405,False
757,Salandit,poison,fire,6,48,48,44,40,71,40,77,320,False
758,Salazzle,poison,fire,12,222,68,64,60,111,60,117,480,False
759,Stufful,normal,fighting,5,68,70,75,50,45,50,50,340,False
760,Bewear,normal,fighting,21,1350,120,125,80,55,60,60,500,False
761,Bounsweet,grass,None,3,32,42,30,38,30,38,32,210,False
762,Steenee,grass,None,7,82,52,40,48,40,48,62,290,False
763,Tsareena,grass,None,12,214,72,120,98,50,98,72,510,False
764,Comfey,fairy,None,1,3,51,52,90,82,110,100,485,False
765,Oranguru,normal,psychic,15,760,90,60,80,90,110,60,490,False
766,Passimian,fighting,None,20,828,100,120,90,40,60,80,490,False
767,Wimpod,bug,water,5,120,25,35,40,20,30,80,230,False
768,Golisopod,bug,water,20,1080,75,125,140,60,90,40,530,False
769,Sandygast,ghost,ground,5,700,55,55,80,70,45,15,320,False
770,Palossand,ghost,ground,13,2500,85,75,110,100,75,35,480,False
771,Pyukumuku,water,None,3,12,55,60,130,30,130,5,410,False
772,Type-Null,normal,None,19,1205,95,95,95,95,95,59,534,True
773,Silvally,normal,None,23,1005,95,95,95,95,95,95,570,True
774,Minior-Red-Meteor,rock,flying,3,400,60,60,100,60,100,60,440,False
775,Komala,normal,None,4,199,65,115,65,75,95,65,480,False
776,Turtonator,fire,dragon,20,2120,60,78,135,91,85,36,485,False
777,Togedemaru,electric,steel,3,33,65,98,63,40,73,96,435,False
778,Mimikyu-Disguised,ghost,fairy,2,7,55,90,80,50,105,96,476,False
779,Bruxish,water,psychic,9,190,68,105,70,70,70,92,475,False
780,Drampa,normal,dragon,30,1850,78,60,85,135,91,36,485,False
781,Dhelmise,ghost,grass,39,2100,70,131,100,86,90,40,517,False
782,Jangmo-O,dragon,None,6,297,45,55,65,45,45,45,300,False
783,Hakamo-O,dragon,fighting,12,470,55,75,90,65,70,65,420,False
784,Kommo-O,dragon,fighting,16,782,75,110,125,100,105,85,600,False
785,Tapu-Koko,electric,fairy,18,205,70,115,85,95,75,130,570,True
786,Tapu-Lele,psychic,fairy,12,186,70,85,75,130,115,95,570,True
787,Tapu-Bulu,grass,fairy,19,455,70,130,115,85,95,75,570,True
788,Tapu-Fini,water,fairy,13,212,70,75,115,95,130,85,570,True
789,Cosmog,psychic,None,2,1,43,29,31,29,31,37,200,True
790,Cosmoem,psychic,None,1,9999,43,29,131,29,131,37,400,True
791,Solgaleo,psychic,steel,34,2300,137,137,107,113,89,97,680,True
792,Lunala,psychic,ghost,40,1200,137,113,89,137,107,97,680,True
793,Nihilego,rock,poison,12,555,109,53,47,127,131,103,570,False
794,Buzzwole,bug,fighting,24,3336,107,139,139,53,53,79,570,False
795,Pheromosa,bug,fighting,18,250,71,137,37,137,37,151,570,False
796,Xurkitree,electric,None,38,1000,83,89,71,173,71,83,570,False
797,Celesteela,steel,flying,92,9999,97,101,103,107,101,61,570,False
798,Kartana,grass,steel,3,1,59,181,131,59,31,109,570,False
799,Guzzlord,dark,dragon,55,8880,223,101,53,97,53,43,570,False
800,Necrozma,psychic,None,24,2300,97,107,101,127,89,79,600,True
801,Magearna,steel,fairy,10,805,80,95,115,130,115,65,600,True
802,Marshadow,fighting,ghost,7,222,90,125,80,90,90,125,600,True
803,Poipole,poison,None,6,18,67,73,67,73,67,73,420,False
804,Naganadel,poison,dragon,36,1500,73,73,73,127,73,121,540,False
805,Stakataka,rock,steel,55,8200,61,131,211,53,101,13,570,False
806,Blacephalon,fire,ghost,18,130,53,127,53,151,79,107,570,False
807,Zeraora,electric,None,15,445,88,112,75,102,80,143,600,True
808,Meltan,steel,None,2,80,46,65,65,55,35,34,300,True
809,Melmetal,steel,None,25,8000,135,143,143,80,65,34,600,True
810,Grookey,grass,None,3,50,50,65,50,40,40,65,310,False
811,Thwackey,grass,None,7,140,70,85,70,55,60,80,420,False
812,Rillaboom,grass,None,21,900,100,125,90,60,70,85,530,False
813,Scorbunny,fire,None,3,45,50,71,40,40,40,69,310,False
814,Raboot,fire,None,6,90,65,86,60,55,60,94,420,False
815,Cinderace,fire,None,14,330,80,116,75,65,75,119,530,False
816,Sobble,water,None,3,40,50,40,40,70,40,70,310,False
817,Drizzile,water,None,7,115,65,60,55,95,55,90,420,False
818,Inteleon,water,None,19,452,70,85,65,125,65,120,530,False
819,Skwovet,normal,None,3,25,70,55,55,35,35,25,275,False
820,Greedent,normal,None,6,60,120,95,95,55,75,20,460,False
821,Rookidee,flying,None,2,18,38,47,35,33,35,57,245,False
822,Corvisquire,flying,None,8,160,68,67,55,43,55,77,365,False
823,Corviknight,flying,steel,22,750,98,87,105,53,85,67,495,False
824,Blipbug,bug,None,4,80,25,20,20,25,45,45,180,False
825,Dottler,bug,psychic,4,195,50,35,80,50,90,30,335,False
826,Orbeetle,bug,psychic,4,408,60,45,110,80,120,90,505,False
827,Nickit,dark,None,6,89,40,28,28,47,52,50,245,False
